"Lista de precios","Producto","UOM","Proveedor","Precio"
"COMPRA","CODO RL 90º (508,00x6,35) ASTM A 234 GB WPB PESO 91,45 20"" SCH 10","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (48,30x3,68) ASTM A 234 GB WPB PESO 0,37 1 1/2""","UNIDAD","","2.70"
"REVENDEDOR","CODO RL 90º (48,30x3,68) ASTM A 234 GB WPB PESO 0,37 1 1/2""","UNIDAD","","2.70"
"VENTA","CODO RL 90º (457,20x7,92) ASTM A 234 GB WPB PESO 99,43 18"" SCH 20","UNIDAD","","611.58"
"REVENDEDOR","CODO RL 90º (457,20x7,92) ASTM A 234 GB WPB PESO 99,43 18"" SCH 20","UNIDAD","","611.58"
"COMPRA","CODO RL 90º (457,20x7,92) ASTM A 234 GB WPB PESO 99,43 18"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","223.38"
"COMPRA","CODO RL 90º (457,20x12,70) ASTM A 234 GB WPB PESO 141,29 18""","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (42,20x3,56) ASTM A 234 GB WPB PESO 0,25 1 1/4""","UNIDAD","","2.67"
"REVENDEDOR","CODO RL 90º (42,20x3,56) ASTM A 234 GB WPB PESO 0,25 1 1/4""","UNIDAD","","2.67"
"COMPRA","CODO RL 90º (42,20x3,56) ASTM A 234 GB WPB PESO 0,25 1 1/4""","UNIDAD","FITTINGS HAN'S PIPE","0.00"
"VENTA","CODO RL 90º (406,40x7,92) ASTM A 234 GB WPB PESO 78,09 16"" SCH 20","UNIDAD","","458.80"
"REVENDEDOR","CODO RL 90º (406,40x7,92) ASTM A 234 GB WPB PESO 78,09 16"" SCH 20","UNIDAD","","458.80"
"COMPRA","CODO RL 90º (406,40x7,92) ASTM A 234 GB WPB PESO 78,09 16"" SCH 20","UNIDAD","FITTINGS HAN'S PIPE","0.00"
